labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Have an account?,38.17,31.85,20.04,23.98,30.53,37.79,52.57,6.32,32.53,28.59,22.04,14.78
Has a debit card?,19.19,16.0,8.23,9.64,13.39,18.94,30.54,3.19,22.31,20.9,17.15,11.6
Have used debit card in past 12 months?,9.57,8.04,3.51,4.33,6.08,9.5,16.38,1.53,12.87,12.05,10.3,6.88
Has a credit card?,3.94,3.26,1.4,2.05,1.93,3.71,7.08,0.68,5.68,5.03,5.15,3.37
Have used credit card in past 12 months?,2.96,2.33,0.83,1.35,1.36,2.69,5.49,0.63,4.66,4.14,4.13,2.8
Has incoming deposit activity?,23.59,18.53,7.95,11.37,16.37,23.15,37.25,5.06,29.3,25.88,20.88,14.1
Has withdrawal activity?,23.16,17.96,8.55,11.08,15.8,22.35,36.23,5.2,27.68,25.15,20.43,13.88
Have made transactions on mobile?,7.31,5.32,2.2,2.32,4.17,6.36,12.99,1.99,10.79,10.67,8.82,6.63
Have made transaction on internet?,3.2,2.17,1.12,1.33,1.55,2.8,5.26,1.03,4.14,3.93,3.71,2.46
Borrowed money from financial institutions?,7.21,6.13,3.32,4.5,5.75,6.55,10.94,1.08,7.62,6.44,5.19,4.39
Borrowed money from close relationships?,39.61,38.55,36.64,39.8,39.85,41.03,38.07,1.06,1.43,-1.73,-1.78,-2.96
Received wage payment recently?,25.73,15.6,11.05,14.56,18.27,22.34,31.24,10.13,20.19,16.68,12.97,8.9
Received wage payment by banking?,10.85,6.92,2.29,3.38,6.07,9.3,18.3,3.93,16.01,14.92,12.23,9.0
Received gov transfers recently?,6.74,7.33,6.67,6.87,6.73,6.75,7.78,-0.59,1.11,0.91,1.05,1.03
Received gov transfers by banking?,3.15,3.35,2.27,2.64,2.74,3.29,4.58,-0.2,2.31,1.94,1.84,1.29
Has saved money recently?,59.94,56.01,44.57,52.01,55.97,61.27,69.06,3.93,24.49,17.05,13.09,7.79
Has borrowed money recently?,54.36,52.17,49.77,53.24,53.53,54.4,54.45,2.19,4.68,1.21,0.92,0.05
