labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Has a debit card?,38.25,20.8,16.08,19.93,25.35,31.35,45.92,17.45,29.84,25.99,20.57,14.57
Have used debit card recently?,15.11,8.55,6.15,6.63,9.75,12.17,20.27,6.56,14.12,13.64,10.52,8.1
Have used mobile/internet banking recently?,7.51,4.18,2.83,3.33,4.87,5.98,10.08,3.33,7.25,6.75,5.21,4.1
Have used mobile/internet to check funds?,12.23,6.01,3.53,4.76,7.53,9.2,16.74,6.22,13.21,11.98,9.21,7.54
Has credit card?,6.71,3.07,1.8,2.54,3.71,4.89,9.31,3.64,7.51,6.77,5.6,4.42
Have used credit card recently?,4.59,2.41,1.11,1.67,2.58,3.62,6.89,2.18,5.78,5.22,4.31,3.27
Have deposit activity recently?,37.63,19.4,14.44,18.06,25.05,30.19,45.46,18.23,31.02,27.4,20.41,15.27
Have withdrawal activity recently?,38.4,20.62,16.28,19.57,25.96,31.49,45.35,17.78,29.07,25.78,19.39,13.86
Borrowed money for emergency recently?,12.64,12.18,16.69,13.74,13.71,11.08,8.54,0.46,-8.15,-5.2,-5.17,-2.54
Borrowed from formal institutions?,9.71,6.48,5.78,6.67,7.49,8.68,10.42,3.23,4.64,3.75,2.93,1.74
Borrowed from close relationships?,30.23,25.93,31.67,30.29,31.75,26.5,22.06,4.3,-9.61,-8.23,-9.69,-4.44
Have emergency funds ready in a month?,60.89,46.52,32.57,41.68,49.24,59.18,74.64,14.37,42.07,32.96,25.4,15.46
Received wage payment from employer recently?,34.77,12.12,14.36,19.89,20.73,24.85,31.23,22.65,16.87,11.34,10.5,6.38
Received wages through banking?,15.65,6.05,3.69,6.51,9.09,12.0,18.47,9.6,14.78,11.96,9.38,6.47
Received financial support from gov recently?,9.19,8.15,9.68,8.97,9.89,7.66,7.54,1.04,-2.14,-1.43,-2.35,-0.12
Received gov transfers by banking?,11.32,7.81,7.96,8.85,9.89,9.4,10.76,3.51,2.8,1.91,0.87,1.36
Owns a mobile phone?,91.68,82.68,79.25,83.76,87.09,89.54,92.43,9.0,13.18,8.67,5.34,2.89
Owns a formal banking account?,53.72,31.96,27.69,32.31,40.04,44.38,59.86,21.76,32.17,27.55,19.82,15.48
Owns a mobile money account?,3.67,2.04,1.8,1.91,2.58,2.91,4.3,1.63,2.5,2.39,1.72,1.39
Has saved money recently?,40.98,30.49,20.75,28.11,32.98,39.15,49.96,10.49,29.21,21.85,16.98,10.81
Has borrowed money recently?,45.09,36.37,41.22,41.25,43.16,39.59,38.29,8.72,-2.93,-2.96,-4.87,-1.3
